year,season,month,ind,rain
2002,Spring,2,0,206.8
2002,Spring,3,0,60.8
2002,Spring,4,0,100.3
2002,Summer,5,0,127.1
2002,Summer,6,0,93.8
2002,Summer,7,0,67.7
2002,Autumn,8,0,56.2
2002,Autumn,9,0,31.2
2002,Autumn,10,0,134.6
2002,Winter,11,0,155.4
2002,Winter,12,0,97
2002,Winter,1,0,65
2003,Spring,2,0,51
2003,Spring,3,0,67.6
2003,Spring,4,0,45.8
2003,Summer,5,0,114
2003,Summer,6,0,86.8
2003,Summer,7,0,113.5
2003,Autumn,8,0,12.9
2003,Autumn,9,0,57.3
2003,Autumn,10,0,57.9
2003,Winter,11,0,135.5
2003,Winter,12,0,116.2
2003,Winter,1,1,139.1
2004,Spring,2,1,43.4
2004,Spring,3,0,75.1
2004,Spring,4,0,55.9
2004,Summer,5,0,50.1
2004,Summer,6,0,55.8
2004,Summer,7,0,60
2004,Autumn,8,0,130.3
2004,Autumn,9,0,116.3
2004,Autumn,10,0,153.6
2004,Winter,11,0,88.9
2004,Winter,12,0,114.3
2004,Winter,1,0,147.7
2005,Spring,2,0,55.3
2005,Spring,3,0,64.6
2005,Spring,4,0,85.8
2005,Summer,5,0,69.8
2005,Summer,6,0,60.9
2005,Summer,7,0,51.5
2005,Autumn,8,0,80.9
2005,Autumn,9,0,109.3
2005,Autumn,10,0,105.6
2005,Winter,11,1,98.2
2005,Winter,12,0,83.6
2005,Winter,1,0,58.2
2006,Spring,2,0,55.4
2006,Spring,3,0,124.7
2006,Spring,4,0,47
2006,Summer,5,0,129.8
2006,Summer,6,0,20.1
2006,Summer,7,0,37.6
2006,Autumn,8,0,58.2
2006,Autumn,9,0,167
2006,Autumn,10,1,127.5
2006,Winter,11,0,126.5
2006,Winter,12,0,182.9
2006,Winter,1,0,103
2007,Spring,2,0,80.1
2007,Spring,3,0,72.6
2007,Spring,4,0,22.6
2007,Summer,5,1,91.5
2007,Summer,6,0,95.9
2007,Summer,7,0,109.7
2007,Autumn,8,0,134.2
2007,Autumn,9,0,53.9
2007,Autumn,10,0,55.6
2007,Winter,11,0,73
2007,Winter,12,0,166.6
2007,Winter,1,0,237.2
2008,Spring,2,0,61.9
2008,Spring,3,0,112.6
2008,Spring,4,0,45.5
2008,Summer,5,0,39.8
2008,Summer,6,0,105.3
2008,Summer,7,0,103.7
2008,Autumn,8,0,151.7
2008,Autumn,9,0,110.9
2008,Autumn,10,0,174.2
2008,Winter,11,0,110
2008,Winter,12,0,110.1
2008,Winter,1,0,170.4
2009,Spring,2,0,33.4
2009,Spring,3,0,66.9
2009,Spring,4,0,103.7
2009,Summer,5,0,127.4
2009,Summer,6,0,84.6
2009,Summer,7,0,150.4
2009,Autumn,8,0,120.6
2009,Autumn,9,0,62
2009,Autumn,10,0,114.8
2009,Winter,11,0,271.1
2009,Winter,12,0,57.7
2009,Winter,1,0,41.2
2010,Spring,2,0,41.9
2010,Spring,3,0,81.9
2010,Spring,4,0,45.5
2010,Summer,5,0,47.3
2010,Summer,6,0,43.4
2010,Summer,7,0,117.3
2010,Autumn,8,0,44.9
2010,Autumn,9,0,131
2010,Autumn,10,0,77.3
2010,Winter,11,0,139.1
2010,Winter,12,0,37.9
2010,Winter,1,0,86
2011,Spring,2,0,151.9
2011,Spring,3,0,32.2
2011,Spring,4,0,53.8
2011,Summer,5,0,103.5
2011,Summer,6,0,109.7
2011,Summer,7,0,47.7
2011,Autumn,8,0,53.2
2011,Autumn,9,0,107.8
2011,Autumn,10,0,116
2011,Winter,11,0,98.2
2011,Winter,12,0,183.9
2011,Winter,1,0,139.3
2012,Spring,2,0,52
2012,Spring,3,0,32.9
2012,Spring,4,0,94.9
2012,Summer,5,0,31.5
2012,Summer,6,0,193.3
2012,Summer,7,0,127.6
2012,Autumn,8,0,123.1
2012,Autumn,9,0,76.1
2012,Autumn,10,0,107.1
2012,Winter,11,0,114.2
2012,Winter,12,0,135.7
2012,Winter,1,0,127.3
2013,Spring,2,0,62.3
2013,Spring,3,0,41.6
2013,Spring,4,0,63.1
2013,Summer,5,0,75.8
2013,Summer,6,0,60.8
2013,Summer,7,0,90.5
2013,Autumn,8,0,54.5
2013,Autumn,9,0,53.9
2013,Autumn,10,0,116.8
2013,Winter,11,0,79.9
2013,Winter,12,0,168.6
2013,Winter,1,0,183.2
2014,Spring,2,0,194.4
2014,Spring,3,0,107.7
2014,Spring,4,0,54.2
2014,Summer,5,0,97.1
2014,Summer,6,0,29.3
2014,Summer,7,0,41.4
2014,Autumn,8,0,85.2
2014,Autumn,9,0,66.1
2014,Autumn,10,0,94.4
2014,Winter,11,0,140.1
2014,Winter,12,0,141.4
2014,Winter,1,0,121.5
2015,Spring,2,0,90.6
2015,Spring,3,0,93.7
2015,Spring,4,0,59.3
2015,Summer,5,0,153.7
2015,Summer,6,0,44.9
2015,Summer,7,0,76.1
2015,Autumn,8,0,118.9
2015,Autumn,10,0,49.4
2015,Winter,11,0,185.4
2015,Winter,12,0,260.7
2015,Winter,1,0,106
2016,Spring,2,0,151.2
2016,Spring,3,0,75.3
2016,Spring,4,0,55.1
2016,Summer,5,0,49.1
2016,Summer,6,0,129.5
2016,Summer,7,0,88.8
2016,Autumn,8,0,91.1
2016,Autumn,9,0,78.2
2016,Autumn,10,0,25.9
2016,Winter,11,0,65.9
2016,Winter,12,0,83
2016,Winter,1,0,70.8
2017,Spring,2,0,59.5
2017,Spring,3,0,148.3
2017,Spring,4,0,28
2017,Summer,5,0,74.9
2017,Summer,6,0,109.2
2017,Summer,7,0,102
2017,Autumn,8,0,113.9
2017,Autumn,10,0,95.3
2017,Winter,11,0,106.7
2017,Winter,12,0,142.8
2017,Winter,1,0,209.3
